Item,Description
Chicken Broth Carton, A chicken broth carton is a paperboard container for liquid broth often recyclable.
Condensed Milk Carton, A condensed milk carton is a container for sweetened milk typically recyclable.
Half & Half Carton, A half & half carton holds a dairy mix of milk and cream often recyclable.
Carton,A carton is a general term for a paperboard container often used for liquids or food.
Plastic Bottles,Plastic bottles are containers for liquids like water or soda often recyclable.
Commercial Waste,Commercial waste refers to trash generated by businesses often requiring specialized disposal.
Medications,Medications are drugs or pills often requiring safe disposal to avoid misuse.
Landscaping,Landscaping refers to materials or waste generated from yard design and maintenance.
Water Heaters,Water heaters are appliances for heating water often recycled as scrap metal.
Socks,Socks are clothing items for feet sometimes donated or discarded.
T-Shirt, A T-shirt is a casual short-sleeved garment often recyclable or donated.
Mattress,A mattress is a large pad for sleeping often requiring specialized recycling.
Cushions,Cushions are soft pads for seating or decoration sometimes recyclable.
Phone Books,Phone books are directories of contact information now largely obsolete and recyclable.
Glass,Glass is a hard transparent material used in bottles or windows often recyclable.
Plastics,Plastics are synthetic materials used in various products many of which are recyclable.
Wood Furniture,Wood furniture includes items like chairs or tables made of timber often recyclable or repurposed.
Land Clearing,Land clearing refers to debris or materials removed from land for development.
Motor,A motor is a mechanical device that powers machinery often recyclable as scrap.
Chain Link Fence, A chain link fence is a metal barrier recyclable as scrap metal.
Video Games,Video games are electronic or physical games sometimes recyclable or donated.
Vinyls,Vinyls are records or plastic materials often collectible or recyclable.
Blankets,Blankets are large fabric covers for warmth often donated or recycled.
Comforters,Comforters are thick quilted bedcovers sometimes recyclable or donated.
Dress,A dress is a one-piece garment for women often donated or recycled.
Jacket,A jacket is an outer garment for warmth often donated or recycled.
Scarf,A scarf is a fabric accessory for warmth or style often donated.
Shirts,Shirts are upper body garments often donated or recycled.
Bicycles,Bicycles are two-wheeled vehicles often donated or recycled as scrap metal.
Clothing,Clothing refers to wearable garments often donated or recycled.
Glasses,Glasses are eyewear for vision correction sometimes recyclable or donated.
Musical Instruments,Musical instruments are tools for creating sound often donated or repurposed.
Sporting Goods,Sporting goods are equipment for sports often donated or recycled.
Tools,Tools are handheld devices for construction or repair often recyclable as metal.
Toys,Toys are playthings for children often donated or recycled.
Telephones,Telephones are communication devices often recycled as electronics.
Books,Books are printed materials for reading often donated or recycled.
Paints,Paints are liquid coatings for coloring surfaces often requiring special disposal.
Oil Based Paints, Oil-based paints are durable coatings that require hazardous waste disposal.
Oil Filters,Oil filters are car components for cleaning oil often recyclable.
Motor Oil,Motor oil is a lubricant for engines requiring safe disposal or recycling.
Gas Cans,Gas cans are containers for fuel often recyclable if empty.
Rechargeable Batteries,Rechargeable batteries are reusable power sources often recyclable.
Oil Paints,Oil paints are art materials with pigments in oil requiring special disposal.
Latex Paints,Latex paints are water-based coatings often recyclable or requiring special disposal.
Fluorescent Bulbs,Fluorescent bulbs are energy-efficient lights requiring safe disposal due to mercury content.
Pesticides,Pesticides are chemicals for killing pests requiring hazardous waste disposal.
Electronics,Electronics are devices like phones or computers often recyclable.
Propane Tanks,Propane tanks are containers for gas fuel requiring safe recycling.
Oxygen Tank,An oxygen tank stores medical oxygen often requiring specialized disposal.
Pool Chemicals,Pool chemicals are substances for pool maintenance requiring hazardous waste disposal.
Speakers,Speakers are audio devices for sound output often recyclable as electronics.
VCRs,VCRs are outdated devices for playing VHS tapes often recyclable.
DVD Player,A DVD player is a device for playing DVDs often recyclable as electronics.
Printers,Printers are devices for producing hard copies of documents often recyclable.
Fitness Trackers,Fitness trackers are wearable devices for monitoring activity often recyclable.
CFL Bulbs,CFL bulbs are compact fluorescent lights requiring safe disposal due to mercury.
Lead Acid Batteries, Lead acid batteries are heavy-duty power sources often recyclable.
Plastic Pots,Plastic pots are containers for plants often recyclable.
Plastic Bags,Plastic bags are lightweight carriers often recyclable at designated locations.
Brass,Brass is a metal alloy often recyclable as scrap.
Copper,Copper is a conductive metal highly recyclable as scrap.
Aluminum,Aluminum is a lightweight metal widely recyclable.
Aluminum Pie Pans, Aluminum pie pans are disposable baking trays recyclable as metal.
Hammers,Hammers are tools for driving nails often recyclable as metal.
Iron,Iron is a heavy metal often recyclable as scrap.
Motors,Motors are mechanical devices for power often recyclable as scrap metal.
Screw Drivers,Screwdrivers are tools for turning screws often recyclable as metal.
Steel,Steel is a strong metal alloy widely recyclable as scrap.
Scrap Metals,Scrap metals are discarded metal pieces often recyclable for reuse.
Night Stand,A night stand is a small bedside table often recyclable or donated.
Stool,A stool is a seat without a back often recyclable or donated.
Tables,Tables are flat-topped furniture often recyclable or donated.
Book Shelf,A bookshelf is furniture for storing books often recyclable or donated.
Chairs,Chairs are seating furniture often recyclable or donated.
Coffee Table,A coffee table is a low table for living rooms often recyclable or donated.
Couch,A couch is a large seat for multiple people often recyclable or donated.
Desks,Desks are furniture for working or studying often recyclable or donated.
Patio Furniture,Patio furniture is outdoor seating or tables often recyclable.
Plastic Furniture,Plastic furniture is lightweight seating or tables often recyclable.
Sofas,Sofas are upholstered seats for multiple people often recyclable or donated.
Shoes,Shoes are footwear often donated or recycled.
Packing Peanuts,Packing peanuts are foam pieces for cushioning packages sometimes recyclable.
Styrofoam,Styrofoam is a lightweight foam material often requiring special recycling.
Foam Egg Cartons, Foam egg cartons are protective containers for eggs sometimes recyclable.
Zip Lock Bags, Zip lock bags are resealable plastic bags sometimes recyclable.
Mail,Mail includes letters and packages often recyclable if paper-based.
Paper Cups,Paper cups are disposable drink containers often recyclable if clean.
Paper Egg Cartons, Paper egg cartons are containers for eggs often recyclable.
Paper Straws,Paper straws are eco-friendly drinking tubes often recyclable.
Office Furniture,Office furniture includes desks and chairs for workplaces often recyclable.
Coffee Maker,A coffee maker is an appliance for brewing coffee often recyclable as electronics.
Juicers,Juicers are appliances for extracting juice from fruits often recyclable.
Rice Cooker,A rice cooker is an appliance for cooking rice often recyclable.
Deep Fryers,Deep fryers are appliances for frying food in oil often recyclable.
Blenders,Blenders are kitchen appliances for mixing or pureeing food often recyclable.
Keurig,A Keurig is a single-serve coffee maker often recyclable as electronics.
Silverware,Silverware includes utensils like forks and spoons often recyclable as metal.
Dishes,Dishes are plates and bowls for eating often recyclable or donated.
Light Bulbs,Light bulbs are sources of artificial light often requiring special disposal.
Reusable Bottles,Reusable bottles are containers for drinks often made of plastic or metal.
Towels,Towels are fabric pieces for drying often donated or recycled.
Cooking Pots,Cooking pots are containers for preparing food often recyclable as metal.
Hummus Container,A hummus container is a plastic tub for dips often recyclable.
Syrup Bottle,A syrup bottle is a container for sweet liquids often recyclable.
Vegetable Oil Bottle, A vegetable oil bottle holds cooking oil often recyclable.
Juice Bottles,Juice bottles are containers for fruit drinks often recyclable.
Soda Bottles,Soda bottles hold carbonated drinks often recyclable as plastic.
Shampoo Bottles,Shampoo bottles contain hair cleaning products often recyclable.
Milk Bottles,Milk bottles are containers for dairy often recyclable.
Glass Bottles,Glass bottles are reusable containers for liquids often recyclable.
Detergent Bottle,A detergent bottle holds cleaning liquid often recyclable.
Conditioner Bottles,Conditioner bottles contain hair products often recyclable.
Jars,Jars are glass containers for food or storage often recyclable.
Mug,A mug is a cup for hot drinks often reusable or recyclable.
Olive Oil Bottle, An olive oil bottle holds cooking oil often recyclable.
Water Bottles,Water bottles are containers for drinking water often recyclable.
Wine Bottles,Wine bottles hold alcoholic beverages often recyclable as glass.
Beer Bottles,Beer bottles contain beer often recyclable as glass.
Soda Cans,Soda cans are aluminum containers for carbonated drinks often recyclable.
Beer Cans,Beer cans are aluminum containers for beer often recyclable.
Tuna Cans,Tuna cans are metal containers for preserved fish often recyclable.
Vegetable Cans,Vegetable cans hold preserved vegetables often recyclable as metal.
Aluminum Cans,Aluminum cans are lightweight metal containers widely recyclable.
Plastic Film,Plastic film is thin wrapping material often recyclable at specific locations.
Phone Batteries,Phone batteries are power sources for mobiles often recyclable.
Cables,Cables are wires for power or data transfer often recyclable as electronics.
Barbecues,Barbecues are outdoor cooking grills often recyclable as scrap metal.
Sheet Metal,Sheet metal is thin flat metal pieces often recyclable.
Aluminum Wheels,Aluminum wheels are vehicle rims often recyclable as metal.
Christmas Lights,Christmas lights are decorative bulbs often recyclable as electronics.
Electric Motors,Electric motors are devices for powering machinery often recyclable.
Insulated Wires,Insulated wires are electrical conductors often recyclable as scrap.
Radiators,Radiators are heating or cooling devices often recyclable as metal.
Screen Doors,Screen doors are mesh barriers often recyclable as metal.
Window Frames,Window frames are structural borders for windows often recyclable.
Cars,Cars are motor vehicles often recyclable as scrap metal.
Farm Machinery,Farm machinery includes equipment like tractors often recyclable as metal.
Aluminum Gutters,Aluminum gutters are drainage systems for roofs often recyclable.
Aluminum Furniture,Aluminum furniture is lightweight outdoor seating often recyclable.
Rechargeable Batteries,Rechargeable batteries are reusable power sources for devices often recyclable.
Yogurt Cups,Yogurt cups are small plastic containers for dairy often recyclable.
Rigid Plastics,Rigid plastics are hard plastic items often recyclable.
Corks,Corks are bottle stoppers made from bark sometimes recyclable or compostable.
Brita Water Filters, Brita water filters are cartridges for purifying water often recyclable through specific programs.
Lithium Batteries,Lithium batteries are lightweight power sources often recyclable.
Lithium Ion Batteries,Lithium ion batteries are rechargeable power sources often recyclable.
Nickel Cadmium Batteries, Nickel cadmium batteries are rechargeable cells often recyclable.
Nickel Metal Batteries, Nickel metal batteries are power sources often recyclable.
Silver Oxide Batteries, Silver oxide batteries are small power cells often recyclable.
Silver Zinc Batteries, Silver zinc batteries are specialized power sources often recyclable.
